#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 13 00 40 260  7.0 10.0    MM    MM    MM  MM 1021.8   9.2  11.0    MM   MM   MM    MM
2024 03 13 00 30 260  6.0  8.0    MM    MM    MM  MM 1021.6   9.1  11.0    MM   MM   MM    MM
2024 03 13 00 20 260  7.0  9.0   4.5    12   9.0 283 1021.4   9.2  11.0    MM   MM   MM    MM
2024 03 13 00 10 270  7.0  9.0   4.5    MM   9.0 283 1021.4   9.2  11.0    MM   MM   MM    MM
2024 03 13 00 00 260  7.0  9.0    MM    MM    MM  MM 1021.1   9.3  11.0    MM   MM +2.0    MM
2024 03 12 23 50 260  7.0  9.0   4.2    11   8.9 285 1020.9   9.2  11.0    MM   MM   MM    MM
2024 03 12 23 40 260  7.0  9.0    MM    MM    MM  MM 1020.8   9.2  11.1    MM   MM   MM    MM
2024 03 12 23 30 270  7.0 10.0    MM    MM    MM  MM 1020.6   9.1  11.0    MM   MM   MM    MM
2024 03 12 23 20 270  7.0 10.0   4.1    12   8.3 275 1020.5   9.2  11.0    MM   MM   MM    MM
2024 03 12 23 10 260  8.0 12.0   4.1    MM   8.3 275 1020.4   9.2  11.0    MM   MM   MM    MM
2024 03 12 23 00 260  8.0 11.0    MM    MM    MM  MM 1020.3   9.3  11.0    MM   MM +1.9    MM
2024 03 12 22 50 270  8.0 11.0   3.9    13   8.6 280 1020.2   9.5  11.0    MM   MM   MM    MM
2024 03 12 22 40 270  8.0 10.0    MM    MM    MM  MM 1020.0   9.5  11.0    MM   MM   MM    MM
2024 03 12 22 30 270  8.0 10.0    MM    MM    MM  MM 1019.8   9.5  11.1    MM   MM   MM    MM
2024 03 12 22 20 250  6.0 10.0    MM    MM    MM  MM 1019.7   9.2  11.1    MM   MM   MM    MM
2024 03 12 22 10 230  7.0 10.0    MM    MM    MM  MM 1019.7   9.0  11.1    MM   MM   MM    MM
2024 03 12 22 00 250  8.0 10.0    MM    MM    MM  MM 1019.5   9.3  11.1    MM   MM +1.7    MM
2024 03 12 21 50 250  7.0  9.0   4.0    13   8.4 284 1019.5   9.4  11.0    MM   MM   MM    MM
2024 03 12 21 40 250  7.0 10.0    MM    MM    MM  MM 1019.4   9.2  11.0    MM   MM   MM    MM
2024 03 12 21 30 250  8.0 11.0    MM    MM    MM  MM 1019.3   9.3  11.0    MM   MM   MM    MM
2024 03 12 21 20 260  9.0 11.0   3.9    10   8.1 272 1019.2   9.3  11.0    MM   MM   MM    MM
2024 03 12 21 10 260  9.0 12.0    MM    MM    MM  MM 1019.1   9.3  11.0    MM   MM   MM    MM
2024 03 12 21 00 250  9.0 12.0    MM    MM    MM  MM 1019.1   9.3  11.0    MM   MM +2.2    MM
2024 03 12 20 50 260  9.0 11.0   3.8    11   8.1 269 1019.0   9.4  11.0    MM   MM   MM    MM
2024 03 12 20 40 260  8.0 10.0    MM    MM    MM  MM 1019.0   9.3  11.0    MM   MM   MM    MM
2024 03 12 20 30 250  8.0 10.0    MM    MM    MM  MM 1018.8   9.2  11.0    MM   MM   MM    MM
2024 03 12 20 20 240  8.0 10.0   3.7    13   8.0 294 1018.6   9.1  11.0    MM   MM   MM    MM
2024 03 12 20 10 250  7.0 10.0    MM    MM    MM  MM 1018.5   9.0  11.0    MM   MM   MM    MM
2024 03 12 20 00 260  8.0 10.0    MM    MM    MM  MM 1018.4   9.2  11.0    MM   MM +2.8    MM
2024 03 12 19 50 260  7.0 10.0   3.5    11   7.8 274 1018.2   9.1  11.0    MM   MM   MM    MM
2024 03 12 19 40 260  7.0 10.0   3.5    MM   7.8 274 1018.2   9.2  11.0    MM   MM   MM    MM
2024 03 12 19 30 280  7.0 10.0    MM    MM    MM  MM 1018.2   9.0  11.0    MM   MM   MM    MM
2024 03 12 19 20 260  7.0 11.0   3.7    11   7.9 285 1018.0   9.1  11.0    MM   MM   MM    MM
2024 03 12 19 10 230  6.0  8.0   3.7    MM   7.9 285 1017.9   9.0  11.0    MM   MM   MM    MM
2024 03 12 19 00 230  7.0  9.0    MM    MM    MM  MM 1017.8   9.0  11.0    MM   MM +3.9    MM
2024 03 12 18 50 240  7.0  9.0   3.8    11   8.1 281 1017.5   9.1    MM    MM   MM   MM    MM
2024 03 12 18 40 260  4.0  8.0    MM    MM    MM  MM 1017.4   8.6  11.0    MM   MM   MM    MM
2024 03 12 18 30 280  4.0  7.0    MM    MM    MM  MM 1017.4   8.2  11.0    MM   MM   MM    MM
2024 03 12 18 20 290  5.0  8.0   3.6    11   7.8 269 1017.3   8.0  11.0    MM   MM   MM    MM
2024 03 12 18 10 290  8.0 11.0   3.6    MM   7.8 269 1017.1   7.8  11.0    MM   MM   MM    MM
2024 03 12 18 00 270 10.0 13.0    MM    MM    MM  MM 1016.9   8.6    MM    MM   MM +4.2    MM
2024 03 12 17 50 240  8.0 11.0   3.5    MM   7.6 300 1016.4   9.1  11.0    MM   MM   MM    MM
2024 03 12 17 40 250  8.0 10.0    MM    MM    MM  MM 1016.3   9.0    MM    MM   MM   MM    MM
2024 03 12 17 30 260  8.0 10.0    MM    MM    MM  MM 1016.2   8.8    MM    MM   MM   MM    MM
2024 03 12 17 20  MM  7.0  9.0   3.9    17   8.0 308 1016.1    MM    MM    MM   MM   MM    MM
2024 03 12 17 10  MM  6.0  8.0    MM    MM    MM  MM 1015.8    MM    MM    MM   MM   MM    MM
2024 03 12 17 00 260  7.0 10.0    MM    MM    MM  MM 1015.6   8.4  11.0    MM   MM +3.8    MM
